customer_id,first_name,last_name,email,city,state,zip,signup_date,is_active,age,full_name
d904a1b0-c4d9-4d03-94f2-285fd5d52667,Dakota,Smith,dakota.smith@fourtwenty-analytics.dev,Cincinnati,IN,14868,2023-04-15,1,29,Dakota Smith
3e720810-4656-40b9-a686-077e155d5c24,Jesse,Wilson,jesse.wilson@fourtwenty-analytics.dev,Cincinnati,IL,47345,2024-06-01,1,43,Jesse Wilson
a103fda9-ec87-4999-b322-3206d2c1a8a3,Charlie,Wilson,charlie.wilson@fourtwenty-analytics.dev,Cincinnati,MI,79896,2025-02-16,1,72,Charlie Wilson
580ea784-d916-4898-b557-98317da8216f,Morgan,Rodriguez,morgan.rodriguez@fourtwenty-analytics.dev,Cincinnati,PA,96998,2023-04-05,1,63,Morgan Rodriguez
e7a9a25e-4adc-4e03-b433-ad3e0649be1f,Peyton,Martin,peyton.martin@fourtwenty-analytics.dev,Columbus,WI,66307,2023-05-08,0,66,Peyton Martin
d6158d6b-b423-4ed1-83b8-58f17b412bfb,Casey,Moore,casey.moore@fourtwenty-analytics.dev,Columbus,TN,56217,2024-08-14,1,26,Casey Moore
b25bd4a8-231a-40d8-8bd0-11705666419d,Blake,Garcia,blake.garcia@fourtwenty-analytics.dev,Cleveland,IL,50743,2024-01-25,1,64,Blake Garcia
8920ceba-7766-4642-bf16-ac0dd005ec5f,Finley,Lopez,finley.lopez@fourtwenty-analytics.dev,Cincinnati,MI,10377,2025-08-17,1,27,Finley Lopez
17f2eb4e-a6e4-4abe-8fb7-ec12faf3a928,Skyler,Miller,skyler.miller@fourtwenty-analytics.dev,Columbus,IN,17334,2024-01-24,1,46,Skyler Miller
231f65a6-ca6a-4c85-93c7-23b4aafa20b6,Morgan,Johnson,morgan.johnson@fourtwenty-analytics.dev,Columbus,PA,51424,2023-10-02,1,58,Morgan Johnson
b31f0d81-c534-4ba6-bfb8-0851099c2f8e,Harper,Thomas,harper.thomas@fourtwenty-analytics.dev,Columbus,WI,89245,2023-09-29,1,51,Harper Thomas
59cb0c4a-9704-4e59-bdde-4721a92832ee,Jesse,Wilson,jesse.wilson@fourtwenty-analytics.dev,Cincinnati,IN,44558,2024-05-20,1,24,Jesse Wilson
3303e0f8-358e-4444-977e-ae03c6b5c69f,Dakota,Jones,dakota.jones@fourtwenty-analytics.dev,Columbus,WV,52162,2023-03-07,1,77,Dakota Jones
a4349b8f-ec29-4db7-bdcf-d8a21ab66879,Alex,Rodriguez,alex.rodriguez@fourtwenty-analytics.dev,Dayton,KY,46127,2025-06-25,1,52,Alex Rodriguez
b0a182fb-a84e-43a6-a677-fd4661ff7237,Morgan,Brown,morgan.brown@fourtwenty-analytics.dev,Cincinnati,WI,90970,2025-09-03,1,51,Morgan Brown
2cf16fd4-f29b-4cb4-ad23-4a9885ae528b,Alex,Miller,alex.miller@fourtwenty-analytics.dev,Cleveland,MI,62742,2024-06-03,1,37,Alex Miller
b8ff55f6-2284-4d4e-8e24-07e88db13030,Peyton,Miller,peyton.miller@fourtwenty-analytics.dev,Cleveland,MO,90970,2024-09-05,1,20,Peyton Miller
ddef7392-0417-43ac-8a41-8b2d9564c176,Dakota,Lopez,dakota.lopez@fourtwenty-analytics.dev,Cincinnati,IL,35497,2025-08-27,1,80,Dakota Lopez
45fc9227-1350-4a1f-a790-e2b8ffdbf8b7,Casey,Moore,casey.moore@fourtwenty-analytics.dev,Cincinnati,WI,30935,2023-06-19,1,72,Casey Moore
82f4bad7-145e-479b-8d24-dcaaa099e9cb,Harper,Moore,harper.moore@fourtwenty-analytics.dev,Columbus,WV,59834,2024-10-27,1,84,Harper Moore
0b9feff1-050e-49e3-9e0e-15f113478093,Sawyer,Brown,sawyer.brown@fourtwenty-analytics.dev,Cincinnati,PA,31716,2024-08-25,1,46,Sawyer Brown
3895893d-c933-46a7-bb7a-bf6db4bb937f,Avery,Williams,avery.williams@fourtwenty-analytics.dev,Cincinnati,OH,74836,2023-03-14,1,53,Avery Williams
9333f30a-a8a2-472d-b5ec-e403750b9220,Taylor,Davis,taylor.davis@fourtwenty-analytics.dev,Cincinnati,TN,64726,2024-04-29,1,78,Taylor Davis
63a1b3f1-3c83-402b-ba53-96ff9f8d8d73,Riley,Davis,riley.davis@fourtwenty-analytics.dev,Cincinnati,WV,81083,2024-03-09,1,24,Riley Davis
e6df27cf-4e4c-460e-a358-1b5e27c971a3,Dakota,Johnson,dakota.johnson@fourtwenty-analytics.dev,Columbus,KY,51193,2023-07-16,1,75,Dakota Johnson
359a5cb9-378d-4525-beb6-977f3c378d0d,Emerson,Wilson,emerson.wilson@fourtwenty-analytics.dev,Cincinnati,IL,18564,2024-03-29,1,30,Emerson Wilson
cc4374c3-4847-406f-adb3-dd3db54f4dc5,Blake,Moore,blake.moore@fourtwenty-analytics.dev,Cleveland,IL,18821,2024-02-21,1,45,Blake Moore
45666000-2687-4701-beb2-b7ea5124209d,Quinn,Johnson,quinn.johnson@fourtwenty-analytics.dev,Cincinnati,WV,66645,2025-08-06,1,76,Quinn Johnson
57e8a305-0708-4e80-8965-c7a1ea0dc17a,Logan,Wilson,logan.wilson@fourtwenty-analytics.dev,Cincinnati,MI,93230,2023-03-01,1,25,Logan Wilson
9ef5c3e7-f0e2-4be6-a8a3-4decca7511f9,Morgan,Johnson,morgan.johnson@fourtwenty-analytics.dev,Dayton,MO,61363,2023-06-11,1,83,Morgan Johnson
b4d6523b-64a5-42ef-ad2f-0b6749ac4d7f,Casey,Miller,casey.miller@fourtwenty-analytics.dev,Dayton,IL,20279,2023-05-03,0,49,Casey Miller
667598f1-b3cf-4cf0-88a0-e4851d276909,Jesse,Martin,jesse.martin@fourtwenty-analytics.dev,Dayton,WV,86039,2024-08-20,1,58,Jesse Martin
e7e336ad-1c9e-481c-88b7-3d3c8f240647,Kai,Davis,kai.davis@fourtwenty-analytics.dev,Cincinnati,WV,32441,2024-11-18,1,76,Kai Davis
fb599d57-d1e6-483a-9293-dcabf99875c0,Morgan,Williams,morgan.williams@fourtwenty-analytics.dev,Cincinnati,TN,50743,2023-03-17,1,82,Morgan Williams
9bca5654-26b9-4634-86f0-3c784f4fd1c6,Kai,Jones,kai.jones@fourtwenty-analytics.dev,Columbus,IL,84576,2023-10-19,1,56,Kai Jones
8eb2fee1-ac5b-4edd-9985-cb911933eaed,Skyler,Taylor,skyler.taylor@fourtwenty-analytics.dev,Dayton,MO,90137,2025-08-12,1,35,Skyler Taylor
